,StartDate,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q3_4_TEXT,Q22,Q22_7_TEXT,Q4,Q5,Q6,Q6_5_TEXT,Q7,Q9,Q9_7_TEXT,Q20,Q20_5_TEXT,Q10,Q11,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q24_1,Q15
2889,2024-11-18 07:54:23,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,Yes,School of Engineering and Applied Science,I have no current plans to seek an internship,,,,,Other - Please describe:,feel under qualified ,,,,,,,Computer Science (BS) in Engineering,Technical Artist
2890,2024-11-18 07:54:41,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Civil Engineering ,Environmental Engineering 
2891,2024-11-18 07:50:36,I would like to complete:,I would like to complete:,I would like to complete:,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Did not know how to navigate the internship search,,Electrical Engineerings,"Medical Work, Grad School, Engineering Industry"
2892,2024-11-18 07:55:11,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Interdisciplinary - Neuroscience,medical doctor
2893,2024-11-18 07:54:30,I would like to complete:,,,I have completed:,Second Year,,,,No,School of Architecture,I have accepted an offer for an internship I will be completing,,,Career Services - Career Fair,,,,Yes,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Urban and Environmental Planning,Transportation or Environmental Focused planning
2894,2024-11-18 07:54:56,I would like to complete:,I have completed:,I have completed:,,Second Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Advertisement - Social Media, Website, Listserv",,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,"Lack of networking connections,Did not have confidence in interviews",,Biomedical Engineering ,Pharmaceuticals 
2895,2024-11-18 07:55:29,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,systems engineering,sustainable land use / environmental consulting
2896,2024-11-18 07:55:43,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Economics and CS,DOD
2897,2024-11-18 07:55:55,I would like to complete:,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Economics,Undecided
2898,2024-11-18 07:56:07,,I would like to complete:,I have completed:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,No,Outside Virginia,"Learned more about the industry,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Could not consider unpaid internships",,Interdisciplinary - Neuroscience,Medicine 
2899,2024-11-18 07:56:26,,I have completed:,I have completed:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I'm already involved in too many extracurricular activities,,,,,,,,Neuroscience and Cognitive Science,Physician Assistant
2900,2024-11-18 07:55:47,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,,,,"Lack of networking connections,Did not have the proper skills,Could not consider unpaid internships",,Computer Science (BA) in the College of Arts & Sciences,Software engineering 
2901,2024-11-18 07:56:53,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Statistics,Data Analyst
2902,2024-11-18 07:56:44,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Chemistry,Medicine 
2903,2024-11-18 07:57:06,I would like to complete:,I have completed:,,,Second Year,,,,Yes,School of Engineering and Applied Science,I have completed an internship,,1,"Career Services - Handshake,Career Services - Career Fair,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,No,Remote/Online,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Lack of networking connections,Did not have confidence in interviews",,Interdisciplinary - Computer Science,Programming
2904,2024-11-18 07:49:59,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Mathematics,Quantitative Researcher
2905,2024-11-18 07:56:54,,,,I have completed:,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,3+,"Advertisement - Social Media, Website, Listserv,Previous Employment (Internship)",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Lack of networking connections,Did not have confidence in interviews",,English,Finance 
2906,2024-11-18 07:57:44,,,,,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Economics,Real Estate Development
2907,2024-11-18 07:57:54,I would like to complete:,I have completed:,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Arts & Sciences Undeclared,Finance
2908,2024-11-18 07:56:43,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Applied Statistics and Economics ,"Finance, Data Analytics"
2909,2024-11-18 07:57:34,I would like to complete:,I have completed:,I have completed:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,Did not know how to navigate the internship search,,Neuroscience,Medical School
2910,2024-11-18 07:58:08,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,Other - Please describe:,I am employed in my field with a continuous paid position,,,,,,,,,,,,History,law
2911,2024-11-18 07:57:04,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,Yes,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Could not consider unpaid internships",,Biomedical Engineering,Biomechanics
2912,2024-11-18 07:57:50,,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,No,,,,Did not have confidence in interviews,,Psychology and Sociology,Law School
2913,2024-11-18 07:58:20,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Econ and also applying to Batten,unsure
2914,2024-11-18 07:58:34,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Other - Please describe:,I have a job lined up this summer but will pursue one next summer. ,,,,,,,Pre Batten/Politics,Law School
2915,2024-11-18 07:59:01,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections",,Biology,Bioinformatics and computational biology
2916,2024-11-18 07:59:26,I would like to complete:,I would like to complete:,,,Second Year,,,,Yes,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Economics,Finance 
2917,2024-11-18 07:59:30,,,,,Second Year,,,,No,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Could not consider unpaid internships",,Applied Statistics,Law or investment banking
2918,2024-11-18 07:59:39,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,"Previous Employment (Internship),Personal Contact /Direct Correspondence - Family & Friends,Personal Contact/Direct Correspondence - Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,I did not face any barriers,,economics,policy
2919,2024-11-18 08:00:01,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Arts & Sciences Undeclared,Librarian
2920,2024-11-18 07:59:52,I would like to complete:,,,,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,,,,Difficult to find opportunities in my field,,Economics and Pre-commerce (finance),Investment banking
2921,2024-11-18 08:00:05,,I would like to complete:,,,Second Year,,,,Yes,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Behavioral Neuroscience,Research
2922,2024-11-18 08:00:04,I would like to complete:,I have completed:,I would like to complete:,"I have completed:,I would like to complete:",Second Year,,,,Yes,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Biomedical Engineering,Biomedical Engineering
2923,2024-11-18 07:58:06,I have completed:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not have confidence in interviews",,Biomedical Engineering,Cardiovascular cancers and diseases
2924,2024-11-18 07:59:41,I would like to complete:,I have completed:,,,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not have confidence in interviews",,Economics,consulting
2925,2024-11-18 07:59:59,I have completed:,I would like to complete:,I would like to complete:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,Career Services - Handshake,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Interdisciplinary - Global Development Studies,Politics and Government
2926,2024-11-18 07:58:48,I would like to complete:,I have completed:,,,Second Year,,,,No,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Did not have confidence in interviews,,Pre-commerce with concentrations in Finance & Accounting ,Investment Banking
2927,2024-11-18 08:01:41,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Interdisciplinary - Neuroscience,Doctor
2928,2024-11-18 08:00:57,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Data Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Data Science,Sports Analyst
2929,2024-11-18 08:01:41,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,School of Data Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Data Science ,Analytics 
2930,2024-11-18 08:02:21,I would like to complete:,I would like to complete:,,,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,English and PST,Lawyer
2931,2024-11-18 07:53:32,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Difficult to find opportunities in my field,,Biology,Medicine
2932,2024-11-18 08:02:38,I have completed:,I have completed:,"I have completed:,I would like to complete:","I have completed:,I would like to complete:",Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Biology/Global Public Health,"Neonatologist, Pediatrics"
2933,2024-11-18 08:02:43,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I have completed an internship,,1,Career Services - Handshake,,,,No,In Virginia,"Developed relevant skills,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Arts & Sciences Undeclared,Law School
2934,2024-11-18 08:02:52,I would like to complete:,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Pre-commerce ,Accounting 
2935,2024-11-18 08:03:43,I have completed:,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Career Services - Handshake,,,,No,Remote/Online,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Lack of networking connections,Did not have the proper skills",,Computer Science (BA) in the College of Arts & Sciences,Software engineer
2936,2024-11-18 08:03:56,,I have completed:,,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Difficult to find opportunities in my field,,Chemical Engineering,Finance
2937,2024-11-18 08:04:17,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Biomedical Engineering,Medical School
2938,2024-11-18 08:00:46,I would like to complete:,,,,Second Year,,,,Yes,College of Arts and Sciences,Other - Please describe:,"Undecided, might seek for one in the near future",,,,,,,,,,,,Computer Science (BA) in the College of Arts & Sciences,"Animation (mainly), but will try to be a game designer, graphic designer, or programmer for softwares."
2939,2024-11-18 07:59:21,I would like to complete:,I have completed:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Biomedical Engineering,Biotech
2940,2024-11-18 08:04:34,,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Behavioral Neuroscience,"clinical psych, behavioral therapy, occupational therapy??"
2941,2024-11-18 08:05:16,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews",,Pre-Commerce,Job
2942,2024-11-18 08:05:23,I would like to complete:,I would like to complete:,I would like to complete:,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Biomedical Engineering,Research/Biotechnology
2943,2024-11-18 08:06:44,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Behavioral neuro ,Na
2944,2024-11-18 08:07:56,,I have completed:,I would like to complete:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Biology,Doctor (surgeon or anesthesiologist)
2945,2024-11-18 08:07:27,,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Economics,Investment Banking
2946,2024-11-18 08:07:44,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,1,Other - Please describe:,I did the Virginia Space Grant programs and then applied to be an intern for them.,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Systems Engineering,NASA or sustainability consulting
2947,2024-11-18 08:08:20,,I have completed:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Computer Science,Statistician / Software Engineer
2948,2024-11-18 08:08:43,I would like to complete:,I have completed:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections",,Computer Science (BA) in the College of Arts & Sciences,software engineer 
2949,2024-11-18 08:03:08,I would like to complete:,I have completed:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Systems Engineering,Consulting
2950,2024-11-18 08:08:56,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,Other - Please describe:,Internship Course this semester with UVA Center for Politics,,,,,,,,,,,,Government,Law School/Working on the Hill
2951,2024-11-18 08:09:15,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Data Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not have confidence in interviews,Did not have the proper skills",,BS in Data Science ,a job in data analytics 
2952,2024-11-18 08:10:06,I would like to complete:,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,No,Remote/Online,"Learned more about the industry,Developed relevant skills,Made industry connections",,Did not have confidence in interviews,,Foreign Affairs,Diplomacy
2953,2024-11-18 08:10:38,I would like to complete:,I have completed:,I have completed:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Other - Please describe:,I am an intern if the office of undergrad admissions and plan to take summer classes and have EMT job during the summer,,,,,,,Psychology,Nursin
2954,2024-11-18 08:10:52,I have completed:,I would like to complete:,,,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Learned more about the industry,Figured out what I want to do",,I did not face any barriers,,Psychology and Sociology,Law Enforcement
2955,2024-11-18 08:09:42,I would like to complete:,I would like to complete:,,,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,Difficult to find opportunities in my field,,Computer Science (BA) in the College of Arts & Sciences,Machine learning
2956,2024-11-18 08:11:45,,,I would like to complete:,I have completed:,Second Year,,,,Yes,Currently applying to a specific school,I have no current plans to seek an internship,,,,,I'm already involved in too many extracurricular activities,,,,,,,,Nursing,"nurse, nurse practicioner"
2957,2024-11-18 08:12:56,,,,,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,Pre-Batten,Law School
2958,2024-11-18 08:13:20,,,,,Second Year,,,,Yes,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I need to work and can't afford to take off time for an internship,,,,,,,,nursing,nurse
2959,2024-11-18 08:14:28,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Mechanical Engineering,Industrial or Amusement Engineering
2960,2024-11-18 08:13:30,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Career Services - Other,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Did not have the proper skills",,Interdisciplinary - Neuroscience,Physician 
2961,2024-11-18 08:14:24,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,CS and Econ,Software engineering
2962,2024-11-18 08:14:24,I would like to complete:,I would like to complete:,,,Second Year,,,,No,College of Arts and Sciences,Other - Please describe:,Currently doing an internship,,,,,,,,,,,,Psychology,LPC
2963,2024-11-18 08:15:08,I would like to complete:,I have completed:,,I have completed:,Second Year,,,,Yes,College of Arts and Sciences,I have completed an internship,,1,Career Services - Handshake,,,,Yes,In Virginia,Made industry connections,,I did not face any barriers,,Economics,Government
2964,2024-11-18 08:16:32,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,undecided,law 
2965,2024-11-18 08:15:55,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Could not consider unpaid internships",,Applied Statistics,Sports Analytics
2966,2024-11-18 08:15:29,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Education and Human Development,I have no current plans to seek an internship,,,,,I'm already involved in too many extracurricular activities,,,,,,,,Kinesiology,Physical Therapy
2967,2024-11-18 08:16:39,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,Did not have the proper skills,,global public health,medicine 
2968,2024-11-18 08:18:10,,,,I have completed:,Second Year,,,,No,Currently applying to a specific school,I have accepted an offer for an internship I will be completing,,,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,,,,I did not face any barriers,,Pre-commerce,Government Finance
2969,2024-11-18 08:18:58,I have completed:,I would like to complete:,,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Personal Contact/Direct Correspondence - Faculty",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,"Did not have confidence in interviews,Could not consider unpaid internships",,Classics and Politics,Litigation Attorney
2970,2024-11-18 08:17:50,,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,pre-commerce,Accountant
2971,2024-11-18 08:19:06,I have completed:,,I have completed:,,Fourth Year,,I have accepted a job,,No,School of Education and Human Development,I have completed an internship,,1,Career Services - Handshake,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,Did not have the proper skills,,Kinesiology,Healthcare Consulting
2972,2024-11-18 08:20:22,,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Education and Human Development,I have no current plans to seek an internship,,,,,Other - Please describe:,,,,,,,,ECE,teacher 
2973,2024-11-18 08:19:52,I would like to complete:,I would like to complete:,I would like to complete:,,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Undecided ,Healthcare administration 
2974,2024-11-18 08:20:57,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Did not know how to navigate the internship search,,Economics,Wealth Management 
2975,2024-11-18 08:22:14,I have completed:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Career Services - Handshake,Career Services - Career Fair,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact/Direct Correspondence - Faculty",,,,Yes,,,,I did not face any barriers,,Economics,Agroeconomics
2976,2024-11-18 08:22:18,I would like to complete:,I have completed:,,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Remote/Online,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections",,Computer Science and Math,Masters
2977,2024-11-18 08:22:33,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Lack of networking connections,,Computer Science (BS) in Engineering,Software Development 
2978,2024-11-18 08:20:12,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Education and Human Development,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,I did not face any barriers,,Kinesiology,Physical therapy
2979,2024-11-18 08:22:32,I would like to complete:,,,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,No,In Virginia,"Learned more about the industry,Developed relevant skills",,I did not face any barriers,,economics,banking/insurance
2980,2024-11-18 08:23:52,I would like to complete:,I have completed:,,I have completed:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Economics,not sure 
2981,2024-11-18 08:23:56,,I would like to complete:,"I have completed:,I would like to complete:",I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I'm already involved in too many extracurricular activities,,,,,,,,Biochemistry,Doctor
2982,2024-11-18 08:24:02,"I have completed:,I would like to complete:",I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Computer Science (BA) in the College of Arts & Sciences,consulting/tech consulting
